In man-in-box?,Name,Preferred ID for nerve name,Superclass,Origin/Central connection/Parent nerve,Preferred ID for Origin/Central connection/Parent nerve,efferent/afferent for column D ,Anatomical landmarks along nerve (from origin to destination),Preferred ID for landmarks,Destination(s),Preferred ID (of destination),Extra details,Detailed relationship to landmarks,Notes,References
,T4 white rami communicantes (White communicating ramus of fourth intercostal nerve),FMA:10973,,,,,,,,,,,,
Yes,Right T4 white rami communicantes (White communicating ramus of right fourth intercostal nerve),FMA:6764,FMA:10973,,,,,,,,,,,
Yes,Left T4 white rami communicantes (White communicating ramus of left fourth intercostal nerve),FMA:6765,FMA:10973,,,,,,,,,,,
,Fourth intercostal nerve,FMA:8604,,,,,,,,,,,,
Yes,Right fourth intercostal nerve,FMA:6728,FMA:8604,,,,,,,,,,,
Yes,Left fourth intercostal nerve,FMA:6729,FMA:8604,,,,,,,,,,,
,Anterior cutaneous branch of fourth intercostal nerve,FMA:7121,,,,,,,,,,,,
Yes,Anterior cutaneous branch of right fourth intercostal nerve,FMA:7122,FMA:7121,,,,,,,,,,,
Yes,Anterior cutaneous branch of left fourth intercostal nerve,FMA:7123,FMA:7121,,,,,,,,,,,
,Lateral cutaneous branch of fourth intercostal nerve,FMA:7124,,,,,,,,,,,,
Yes,Lateral cutaneous branch of right fourth intercostal nerve,FMA:11084,FMA:7124,,,,,,,,,,,
Yes,Lateral cutaneous branch of left fourth intercostal nerve,FMA:11111,FMA:7124,,,,,,,,,,,
,Anterior branch of lateral cutaneous branch of fourth intercostal nerve,FMA:7125,,,,,,,Skin around areola,,,,,
Yes,Anterior branch of lateral cutaneous branch of right fourth intercostal nerve,FMA:7126,FMA:7125,,,,,,,,,,,
Yes,Anterior branch of lateral cutaneous branch of left fourth intercostal nerve,FMA:7127,FMA:7125,,,,,,,,,,,
,Posterior branch of lateral cutaneous branch of fourth intercostal nerve,FMA:7128,,,,,,,Skin over scapula,,,,,
Yes,Posterior branch of lateral cutaneous branch of right fourth intercostal nerve,FMA:7129,FMA:7128,,,,,,,,,,,
Yes,Posterior branch of lateral cutaneous branch of left fourth intercostal nerve,FMA:7130,FMA:7128,,,,,,,,,,,
,T5 spinal nerve (Fifth thoracic spinal nerve),FMA:6293,,,,,,,,,,,,
Yes,Right T5 spinal nerve (Right fifth thoracic spinal nerve),FMA:6294,FMA:6293,,,,,,,,,,,
Yes,Left T5 spinal nerve (Left fifth thoracic spinal nerve),FMA:6295,FMA:6293,,,,,,,,,,,
,T5 spinal nerve posterior ramus (Posterior ramus of fifth thoracic nerve),FMA:8806,,,,,,,,,,,,
Yes,Right T5 spinal nerve posterior ramus (Posterior ramus of right fifth thoracic nerve),FMA:8807,FMA:8806,,,,,,,,,,,
Yes,Left T5 spinal nerve posterior ramus (Posterior ramus of left fifth thoracic nerve),FMA:8808,FMA:8806,,,,,,,,,,,
,T5 spinal nerve posterior ramus medial branch (Medial branch of posterior ramus of fifth thoracic nerve),FMA:11119,,,,,,,,,,,,
Yes,Right T5 spinal nerve posterior ramus medial branch (Medial branch of posterior ramus of right fifth thoracic nerve),FMA:11153,FMA:11119,,,,,,,,,,,
Yes,Left T5 spinal nerve posterior ramus medial branch (Medial branch of posterior ramus of left fifth thoracic nerve),FMA:11154,FMA:11119,,,,,,,,,,,
,T5 gray rami communicantes (Gray communicating ramus of fifth intercostal nerve),FMA:11136,,,,,,,,,,,,
Yes,Right T5 gray rami communicantes (Gray communicating ramus of right fifth intercostal nerve),FMA:6761,FMA:11136,,,,,,,,,,,
Yes,Left T5 gray rami communicantes (Gray communicating ramus of left fifth intercostal nerve),FMA:6760,FMA:11136,,,,,,,,,,,
,T5 white rami communicantes (White communicating ramus of fifth intercostal nerve),FMA:11137,,,,,,,,,,,,
Yes,Right T5 white rami communicantes (White communicating ramus of right fifth intercostal nerve),FMA:6766,FMA:11137,,,,,,,,,,,
Yes,Left T5 white rami communicantes (White communicating ramus of left fifth intercostal nerve),FMA:6767,FMA:11137,,,,,,,,,,,
,Fifth intercostal nerve,FMA:8605,,,,,,,,,,,,
Yes,Right fifth intercostal nerve,FMA:6730,FMA:8605,,,,,,,,,,,
Yes,Left fifth intercostal nerve,FMA:6731,FMA:8605,,,,,,,,,,,
,Anterior cutaneous branch of fifth intercostal nerve,FMA:7288,,,,,,,,,,,,
Yes,Anterior cutaneous branch of right fifth intercostal nerve,FMA:7289,FMA:7288,,,,,,,,,,,
Yes,Anterior cutaneous branch of left fifth intercostal nerve,FMA:7290,FMA:7288,,,,,,,,,,,
,Lateral cutaneous branch of fifth intercostal nerve,FMA:7291,,,,,,,,,,,,
Yes,Lateral cutaneous branch of right fifth intercostal nerve,FMA:11194,FMA:7291,,,,,,,,,,,
Yes,Lateral cutaneous branch of left fifth intercostal nerve,FMA:11193,FMA:7291,,,,,,,,,,,
,Anterior branch of lateral cutaneous branch of fifth intercostal nerve,FMA:7292,,,,,,,,,,,,
Yes,Anterior branch of lateral cutaneous branch of right fifth intercostal nerve,FMA:7293,FMA:7292,,,,,,,,,,,
Yes,Anterior branch of lateral cutaneous branch of left fifth intercostal nerve,FMA:7294,FMA:7292,,,,,,,,,,,
,Posterior branch of lateral cutaneous branch of fifth intercostal nerve,FMA:7295,,,,,,,,,,,,
Yes,Posterior branch of lateral cutaneous branch of right fifth intercostal nerve,FMA:7296,FMA:7295,,,,,,,,,,,
Yes,Posterior branch of lateral cutaneous branch of left fifth intercostal nerve,FMA:7297,FMA:7295,,,,,,,,,,,
,T6 spinal nerve (Sixth thoracic spinal nerve),FMA:6296,,,,,,,,,,,,
Yes,Right T6 spinal nerve (Right sixth thoracic spinal nerve),FMA:6297,FMA:6296,,,,,,,,,,,
Yes,Left T6 spinal nerve (Left sixth thoracic spinal nerve),FMA:6298,FMA:6296,,,,,,,,,,,
,T6 spinal nerve posterior ramus (Posterior ramus of sixth thoracic nerve),FMA:8810,,,,,,,,,,,,
Yes,Right T6 spinal nerve posterior ramus (Posterior ramus of right sixth thoracic nerve),FMA:8811,FMA:8810,,,,,,,,,,,
Yes,Left T6 spinal nerve posterior ramus (Posterior ramus of left sixth thoracic nerve),FMA:8812,FMA:8810,,,,,,,,,,,
,T6 spinal nerve posterior ramus medial branch (Medial branch of posterior ramus of sixth thoracic nerve),FMA:11260,,,,,,,,,,,,
Yes,Right T6 spinal nerve posterior ramus medial branch (Medial branch of posterior ramus of right sixth thoracic nerve),FMA:11261,FMA:11260,,,,,,,,,,,
Yes,Left T6 spinal nerve posterior ramus medial branch (Medial branch of posterior ramus of left sixth thoracic nerve),FMA:11262,FMA:11260,,,,,,,,,,,
,T6 gray rami communicantes (Gray communicating ramus of sixth intercostal nerve),FMA:11655,,,,,,,,,,,,
Yes,Right T6 gray rami communicantes (Gray communicating ramus of right sixth intercostal nerve),FMA:6762,FMA:11655,,,,,,,,,,,
Yes,Left T6 gray rami communicantes (Gray communicating ramus of left sixth intercostal nerve),FMA:6763,FMA:11655,,,,,,,,,,,
,T6 white rami communicantes (White communicating ramus of sixth intercostal nerve),FMA:11656,,,,,,,,,,,,
Yes,Right T6 white rami communicantes (White communicating ramus of right sixth intercostal nerve),FMA:6768,FMA:11656,,,,,,,,,,,
Yes,Left T6 white rami communicantes (White communicating ramus of left sixth intercostal nerve),FMA:6769,FMA:11656,,,,,,,,,,,
,Sixth intercostal nerve,FMA:8606,,,,,,,,,,,,
Yes,Right sixth intercostal nerve,FMA:6732,FMA:8606,,,,,,,,,,,
Yes,Left sixth intercostal nerve,FMA:6733,FMA:8606,,,,,,,,,,,
,Anterior cutaneous branch of sixth intercostal nerve,FMA:8859,,,,,,,,,,,,
Yes,Anterior cutaneous branch of right sixth intercostal nerve,FMA:8860,FMA:8859,,,,,,,,,,,
Yes,Anterior cutaneous branch of left sixth intercostal nerve,FMA:8861,FMA:8859,,,,,,,,,,,
,Lateral cutaneous branch of sixth intercostal nerve,FMA:8862,,,,,,,,,,,,
Yes,Lateral cutaneous branch of right sixth intercostal nerve,FMA:11209,FMA:8862,,,,,,,,,,,
Yes,Lateral cutaneous branch of left sixth intercostal nerve,FMA:11210,FMA:8862,,,,,,,,,,,
,Anterior branch of lateral cutaneous branch of sixth intercostal nerve,FMA:8863,,,,,,,,,,,,
Yes,Anterior branch of lateral cutaneous branch of right sixth intercostal nerve,FMA:8864,FMA:8863,,,,,,,,,,,
Yes,Anterior branch of lateral cutaneous branch of left sixth intercostal nerve,FMA:8865,FMA:8863,,,,,,,,,,,
,Posterior branch of lateral cutaneous branch of sixth intercostal nerve,FMA:8866,,,,,,,,,,,,
Yes,Posterior branch of lateral cutaneous branch of right sixth intercostal nerve,FMA:8867,FMA:8866,,,,,,,,,,,
Yes,Posterior branch of lateral cutaneous branch of left sixth intercostal nerve,FMA:8868,FMA:8866,,,,,,,,,,,
,T7 spinal nerve (Seventh thoracic spinal nerve),FMA:6299,,,,,,,Subcostal angle,,,,Rough dermatomal distribution (can be variable),Last's Anatomy (segmental innervation of the skin)
Yes,Right T7 spinal nerve (Right seventh thoracic spinal nerve),FMA:6300,FMA:6299,,,,,,,,,,,
Yes,Left T7 spinal nerve (Left seventh thoracic spinal nerve),FMA:6301,FMA:6299,,,,,,,,,,,
,T7 spinal nerve posterior ramus (Posterior ramus of seventh thoracic nerve),FMA:8813,,,,,,,,,,,,
Yes,Right T7 spinal nerve posterior ramus (Posterior ramus of right seventh thoracic nerve),FMA:8814,FMA:8813,,,,,,,,,,,
Yes,Left T7 spinal nerve posterior ramus (Posterior ramus of left seventh thoracic nerve),FMA:8815,FMA:8813,,,,,,,,,,,
,T7 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of seventh thoracic nerve),FMA:11674,,,,,,,,,,,,
Yes,Right T7 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of right seventh thoracic nerve),FMA:11681,FMA:11674,,,,,,,,,,,
Yes,Left T7 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of seventh thoracic nerve),FMA:11687,FMA:11674,,,,,,,,,,,
,T7 gray rami communicantes (Gray communicating ramus of seventh intercostal nerve),FMA:11676,,,,,,,,,,,,
Yes,Right T7 gray rami communicantes (Gray communicating ramus of right seventh intercostal nerve),FMA:6888,FMA:11676,,,,,,,,,,,
Yes,Left T7 gray rami communicantes (Gray communicating ramus of left seventh intercostal nerve),FMA:6889,FMA:11676,,,,,,,,,,,
,T7 white rami communicantes (White communicating ramus of seventh intercostal nerve),FMA:11677,,,,,,,,,,,,
Yes,Right T7 white rami communicantes (White communicating ramus of right seventh intercostal nerve),FMA:6770,FMA:11677,,,,,,,,,,,
Yes,Left T7 white rami communicantes (White communicating ramus of left seventh intercostal nerve),FMA:6771,FMA:11677,,,,,,,,,,,
,Seventh intercostal nerve,FMA:8607,,,,,,,,,Ends at xyphoid process of sternum,,,
Yes,Right seventh intercostal nerve,FMA:6736,FMA:8607,,,,,,,,,,,
Yes,Left seventh intercostal nerve,FMA:6737,FMA:8607,,,,,,,,,,,
,Anterior cutaneous branch of seventh intercostal nerve,FMA:8870,,,,,,,,,,,,
Yes,Anterior cutaneous branch of right seventh intercostal nerve,FMA:8871,FMA:8870,,,,,,,,,,,
Yes,Anterior cutaneous branch of left seventh intercostal nerve,FMA:8872,FMA:8870,,,,,,,,,,,
,Lateral cutaneous branch of seventh intercostal nerve,FMA:8873,,,,,,,,,,,,
Yes,Lateral cutaneous branch of right seventh intercostal nerve,FMA:11211,FMA:8873,,,,,,,,,,,
Yes,Lateral cutaneous branch of left seventh intercostal nerve,FMA:11212,FMA:8873,,,,,,,,,,,
,Anterior branch of lateral cutaneous branch of seventh intercostal nerve,FMA:8874,,,,,,,,,,,,
Yes,Anterior branch of lateral cutaneous branch of right seventh intercostal nerve,FMA:8875,FMA:8874,,,,,,,,,,,
Yes,Anterior branch of lateral cutaneous branch of left seventh intercostal nerve,FMA:8876,FMA:8874,,,,,,,,,,,
,Posterior branch of lateral cutaneous branch of seventh intercostal nerve,FMA:8877,,,,,,,,,,,,
Yes,Posterior branch of lateral cutaneous branch of right seventh intercostal nerve,FMA:8878,FMA:8877,,,,,,,,,,,
Yes,Posterior branch of lateral cutaneous branch of left seventh intercostal nerve,FMA:8879,FMA:8877,,,,,,,,,,,
,T8 spinal nerve (Eighth thoracic nerve),FMA:6302,,,,,,,Rib margin,,,,Rough dermatomal distribution (can be variable),Last's Anatomy (segmental innervation of the skin)
Yes,Right T8 spinal nerve (Right eighth thoracic nerve),FMA:6303,FMA:6302,,,,,,,,,,,
Yes,Left T8 spinal nerve (Left eighth thoracic nerve),FMA:6305,FMA:6302,,,,,,,,,,,
,T8 spinal nerve posterior ramus (Posterior ramus of eighth thoracic nerve),FMA:8816,,,,,,,,,,,,
Yes,Right T8 spinal nerve posterior ramus (Posterior ramus of right eighth thoracic nerve),FMA:8817,FMA:8816,,,,,,,,,,,
Yes,Left T8 spinal nerve posterior ramus (Posterior ramus of left eighth thoracic nerve),FMA:8818,FMA:8816,,,,,,,,,,,
,T8 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of eighth thoracic nerve),FMA:11746,,,,,,,,,,,,
Yes,Right T8 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of right eighth thoracic nerve),FMA:11751,FMA:11746,,,,,,,,,,,
Yes,Left T8 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of left eighth thoracic nerve),FMA:11752,FMA:11746,,,,,,,,,,,
,T8 gray rami communicantes (Gray communicating ramus of eighth intercostal nerve),FMA:11761,,,,,,,,,,,,
Yes,Right T8 gray rami communicantes (Gray communicating ramus of right eighth intercostal nerve),FMA:6890,FMA:11761,,,,,,,,,,,
Yes,Left T8 gray rami communicantes (Gray communicating ramus of left eighth intercostal nerve),FMA:6891,FMA:11761,,,,,,,,,,,
,T8 white rami communicantes (White communicating ramus of eighth intercostal nerve),FMA:11762,,,,,,,,,,,,
Yes,Right T8 white rami communicantes (White communicating ramus of right eighth intercostal nerve),FMA:6772,FMA:11762,,,,,,,,,,,
Yes,Left T8 white rami communicantes (White communicating ramus of left eighth intercostal nerve),FMA:6773,FMA:11762,,,,,,,,,,,
,Eighth intercostal nerve,FMA:8608,,,,,,,,,,,,
Yes,Right eighth intercostal nerve,FMA:6738,FMA:8608,,,,,,,,,,,
Yes,Left eighth intercostal nerve,FMA:6739,FMA:8608,,,,,,,,,,,
,Anterior cutaneous branch of eighth intercostal nerve,FMA:8881,,,,,,,,,,,,
Yes,Anterior cutaneous branch of right eighth intercostal nerve,FMA:8882,FMA:8881,,,,,,,,,,,
Yes,Anterior cutaneous branch of left eighth intercostal nerve,FMA:8883,FMA:8881,,,,,,,,,,,
,Lateral cutaneous branch of eighth intercostal nerve,FMA:8884,,,,,,,,,,,,
Yes,Lateral cutaneous branch of right eighth intercostal nerve,FMA:11213,FMA:8884,,,,,,,,,,,
Yes,Lateral cutaneous branch of left eighth intercostal nerve,FMA:11214,FMA:8884,,,,,,,,,,,
,Anterior branch of lateral cutaneous branch of eighth intercostal nerve,FMA:8885,,,,,,,,,,,,
Yes,Anterior branch of lateral cutaneous branch of right eighth intercostal nerve,FMA:8886,FMA:8885,,,,,,,,,,,
Yes,Anterior branch of lateral cutaneous branch of left eighth intercostal nerve,FMA:8887,FMA:8885,,,,,,,,,,,
,Posterior branch of lateral cutaneous branch of eighth intercostal nerve,FMA:8888,,,,,,,,,,,,
Yes,Posterior branch of lateral cutaneous branch of right eighth intercostal nerve,FMA:8889,FMA:8888,,,,,,,,,,,
Yes,Posterior branch of lateral cutaneous branch of left eighth intercostal nerve,FMA:8890,FMA:8888,,,,,,,,,,,
,T9 spinal nerve (Ninth thoracic nerve),FMA:6306,,,,,,,,,,,Rough dermatomal distribution (can be variable),Last's Anatomy (segmental innervation of the skin)
Yes,Right T9 spinal nerve (Right ninth thoracic nerve),FMA:6307,FMA:6306,,,,,,,,,,,
Yes,Left T9 spinal nerve (Left ninth thoracic nerve),FMA:6308,FMA:6306,,,,,,,,,,,
,T9 spinal nerve posterior ramus (Posterior ramus of ninth thoracic nerve),FMA:8819,,,,,,,,,,,,
Yes,Right T9 spinal nerve posterior ramus (Posterior ramus of right ninth thoracic nerve),FMA:8820,FMA:8819,,,,,,,,,,,
Yes,Left T9 spinal nerve posterior ramus (Posterior ramus of left ninth thoracic nerve),FMA:8821,FMA:8819,,,,,,,,,,,
,T9 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of ninth thoracic nerve),FMA:11747,,,,,,,,,,,,
Yes,Right T9 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of right ninth thoracic nerve),FMA:11753,FMA:11747,,,,,,,,,,,
Yes,Left T9 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of left ninth thoracic nerve),FMA:11754,FMA:11747,,,,,,,,,,,
,T9 gray rami communicantes (Gray communicating ramus of ninth thoracic nerve),FMA:11747,,,,,,,,,,,,
Yes,Right T9 gray rami communicantes (Gray communicating ramus of right ninth thoracic nerve),FMA:6892,FMA:11747,,,,,,,,,,,
Yes,Left T9 gray rami communicantes (Gray communicating ramus of left ninth thoracic nerve),FMA:6893,FMA:11747,,,,,,,,,,,
,T9 white rami communicantes (White communicating ramus of ninth thoracic nerve),FMA:11766,,,,,,,,,,,,
Yes,Right T9 white rami communicantes (White communicating ramus of right ninth thoracic nerve),FMA:6774,FMA:11766,,,,,,,,,,,
Yes,Left T9 white rami communicantes (White communicating ramus of left ninth thoracic nerve),FMA:6775,FMA:11766,,,,,,,,,,,
,Ninth intercostal nerve,FMA:8609,,,,,,,,,,,,
Yes,Right ninth intercostal nerve,FMA:6740,FMA:8609,,,,,,,,,,,
Yes,Left ninth intercostal nerve,FMA:6741,FMA:8609,,,,,,,,,,,
,Anterior cutaneous branch of ninth intercostal nerve,FMA:8892,,,,,,,,,,,,
Yes,Anterior cutaneous branch of right ninth intercostal nerve,FMA:8893,FMA:8892,,,,,,,,,,,
Yes,Anterior cutaneous branch of left ninth intercostal nerve,FMA:8894,FMA:8892,,,,,,,,,,,
,Lateral cutaneous branch of ninth intercostal nerve,FMA:8895,,,,,,,,,,,,
Yes,Lateral cutaneous branch of right ninth intercostal nerve,FMA:11215,FMA:8895,,,,,,,,,,,
Yes,Lateral cutaneous branch of left ninth intercostal nerve,FMA:11216,FMA:8895,,,,,,,,,,,
,Anterior branch of lateral cutaneous branch of ninth intercostal nerve,FMA:8896,,,,,,,,,,,,
Yes,Anterior branch of lateral cutaneous branch of right ninth intercostal nerve,FMA:8897,FMA:8896,,,,,,,,,,,
Yes,Anterior branch of lateral cutaneous branch of left ninth intercostal nerve,FMA:8898,FMA:8896,,,,,,,,,,,
,Posterior branch of lateral cutaneous branch of ninth intercostal nerve,FMA:8899,,,,,,,,,,,,
Yes,Posterior branch of lateral cutaneous branch of right ninth intercostal nerve,FMA:8900,FMA:8899,,,,,,,,,,,
Yes,Posterior branch of lateral cutaneous branch of left ninth intercostal nerve,FMA:8901,FMA:8899,,,,,,,,,,,
,T10 spinal nerve (Tenth thoracic nerve),FMA:6309,,,,,,,Umbilicus,,,,Rough dermatomal distribution (can be variable),Last's Anatomy (segmental innervation of the skin)
Yes,Right T10 spinal nerve (Right tenth thoracic nerve),FMA:6310,FMA:6309,,,,,,,,,,,
Yes,Left T10 spinal nerve (Left tenth thoracic nerve),FMA:6311,FMA:6309,,,,,,,,,,,
,T10 spinal nerve posterior ramus (Posterior ramus of tenth thoracic nerve),FMA:8822,,,,,,,,,,,,
Yes,Right T10 spinal nerve posterior ramus (Posterior ramus of right tenth thoracic nerve),FMA:8823,FMA:8822,,,,,,,,,,,
Yes,Left T10 spinal nerve posterior ramus (Posterior ramus of left tenth thoracic nerve),FMA:8824,FMA:8822,,,,,,,,,,,
,T10 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of tenth thoracic nerve),FMA:11748,,,,,,,,,,,,
Yes,Right T10 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of right tenth thoracic nerve),FMA:11755,FMA:11748,,,,,,,,,,,
Yes,Left T10 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of left tenth thoracic nerve),FMA:11756,FMA:11748,,,,,,,,,,,
,T10 gray rami communicantes (Gray communicating ramus of tenth intercostal nerve),FMA:11769,,,,,,,,,,,,
Yes,Right T10 gray rami communicantes (Gray communicating ramus of right tenth intercostal nerve),FMA:6894,FMA:11769,,,,,,,,,,,
Yes,Left T10 gray rami communicantes (Gray communicating ramus of left tenth intercostal nerve),FMA:6895,FMA:11769,,,,,,,,,,,
,T10 white rami communicantes (White communicating ramus of tenth intercostal nerve),FMA:11770,,,,,,,,,,,,
Yes,Right T10 white rami communicantes (White communicating ramus of right tenth intercostal nerve),FMA:6776,FMA:11770,,,,,,,,,,,
Yes,Left T10 white rami communicantes (White communicating ramus of left tenth intercostal nerve),FMA:6777,FMA:11770,,,,,,,,,,,
,Tenth intercostal nerve,FMA:8610,,,,,,,,,,,,
Yes,Right tenth intercostal nerve,FMA:6742,FMA:8610,,,,,,,,,,,
Yes,Left tenth intercostal nerve,FMA:6743,FMA:8610,,,,,,,,,,,
,Anterior cutaneous branch of tenth intercostal nerve,FMA:8903,,,,,,,,,,,,
Yes,Anterior cutaneous branch of right tenth intercostal nerve,FMA:8904,FMA:8903,,,,,,,,,,,
Yes,Anterior cutaneous branch of left tenth intercostal nerve,FMA:8905,FMA:8903,,,,,,,,,,,
,Lateral cutaneous branch of tenth intercostal nerve,FMA:8906,,,,,,,,,,,,
Yes,Lateral cutaneous branch of right tenth intercostal nerve,FMA:11217,FMA:8906,,,,,,,,,,,
Yes,Lateral cutaneous branch of left tenth intercostal nerve,FMA:11218,FMA:8906,,,,,,,,,,,
,Anterior branch of lateral cutaneous branch of tenth intercostal nerve,FMA:8907,,,,,,,,,,,,
Yes,Anterior branch of lateral cutaneous branch of right tenth intercostal nerve,FMA:8908,FMA:8907,,,,,,,,,,,
Yes,Anterior branch of lateral cutaneous branch of left tenth intercostal nerve,FMA:8909,FMA:8907,,,,,,,,,,,
,Posterior branch of lateral cutaneous branch of tenth intercostal nerve,FMA:8910,,,,,,,,,,,,
Yes,Posterior branch of lateral cutaneous branch of right tenth intercostal nerve,FMA:8911,FMA:8910,,,,,,,,,,,
Yes,Posterior branch of lateral cutaneous branch of left tenth intercostal nerve,FMA:8912,FMA:8910,,,,,,,,,,,
,T11 spinal nerve (Eleventh thoracic nerve),FMA:6312,,,,,,,,,,,Rough dermatomal distribution (can be variable),Last's Anatomy (segmental innervation of the skin)
Yes,Right T11 spinal nerve (Right eleventh thoracic nerve),FMA:6313,FMA:6312,,,,,,,,,,,
Yes,Left T11 spinal nerve (Left eleventh thoracic nerve),FMA:6314,FMA:6312,,,,,,,,,,,
,T11 spinal nerve posterior ramus (Posterior ramus of eleventh thoracic nerve),FMA:8825,,,,,,,,,,,,
Yes,Right T11 spinal nerve posterior ramus (Posterior ramus of right eleventh thoracic nerve),FMA:8826,FMA:8825,,,,,,,,,,,
Yes,Left T11 spinal nerve posterior ramus (Posterior ramus of left eleventh thoracic nerve),FMA:8827,FMA:8825,,,,,,,,,,,
,T11 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of eleventh thoracic nerve),FMA:11749,,,,,,,,,,,,
Yes,Right T11 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of right eleventh thoracic nerve),FMA:11757,FMA:11749,,,,,,,,,,,
Yes,Left T11 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of left eleventh thoracic nerve),FMA:11758,FMA:11749,,,,,,,,,,,
,T11 gray rami communicantes (Gray communicating ramus of eleventh intercostal nerve),FMA:11773,,,,,,,,,,,,
Yes,Right T11 gray rami communicantes (Gray communicating ramus of right eleventh intercostal nerve),FMA:6896,FMA:11773,,,,,,,,,,,
Yes,Left T11 gray rami communicantes (Gray communicating ramus of left eleventh intercostal nerve),FMA:6897,FMA:11773,,,,,,,,,,,
,T11 white rami communicantes (White communicating ramus of eleventh intercostal nerve),FMA:11774,,,,,,,,,,,,
Yes,Right T11 white rami communicantes (White communicating ramus of right eleventh intercostal nerve),FMA:6778,FMA:11774,,,,,,,,,,,
Yes,Left T11 white rami communicantes (White communicating ramus of left eleventh intercostal nerve),FMA:6779,FMA:11774,,,,,,,,,,,
,Eleventh intercostal nerve,FMA:8611,,,,,,,,,,,,
Yes,Right eleventh intercostal nerve,FMA:6744,FMA:8611,,,,,,,,,,,
Yes,Left eleventh intercostal nerve,FMA:6745,FMA:8611,,,,,,,,,,,
,Lateral cutaneous branch of eleventh intercostal nerve,FMA:7302,,,,,,,,,,,,
Yes,Lateral cutaneous branch of right eleventh intercostal nerve,FMA:11219,FMA:7302,,,,,,,,,,,
Yes,Lateral cutaneous branch of left eleventh intercostal nerve,FMA:11220,FMA:7302,,,,,,,,,,,
,Anterior branch of lateral cutaneous branch of eleventh intercostal nerve,FMA:7303,,,,,,,,,,,,
Yes,Anterior branch of lateral cutaneous branch of right eleventh intercostal nerve,FMA:7304,FMA:7303,,,,,,,,,,,
Yes,Anterior branch of lateral cutaneous branch of left eleventh intercostal nerve,FMA:7305,FMA:7303,,,,,,,,,,,
,Posterior branch of lateral cutaneous branch of eleventh intercostal nerve,FMA:7306,,,,,,,,,,,,
Yes,Posterior branch of lateral cutaneous branch of right eleventh intercostal nerve,FMA:7307,FMA:7306,,,,,,,,,,,
Yes,Posterior branch of lateral cutaneous branch of left eleventh intercostal nerve,FMA:7308,FMA:7306,,,,,,,,,,,
,Anterior cutaneous branch of eleventh intercostal nerve,FMA:7299,,,,,,,,,,,,
Yes,Anterior cutaneous branch of right eleventh intercostal nerve,FMA:7300,FMA:7299,,,,,,,,,,,
Yes,Anterior cutaneous branch of left eleventh intercostal nerve,FMA:7301,FMA:7299,,,,,,,,,,,
,Collateral branches (from T1-T11),,,,,,,,,,"Comes directly off mixed spinal nerve to supply muscles of intercostal space, parietal pleura and periosteum of ribs ",,,
,T12 spinal nerve (Twelfth thoracic nerve),FMA:6167,,,,,,,,,,,,
Yes,Right T12 spinal nerve (Right twelfth thoracic nerve),FMA:6182,FMA:6167,,,,,,,,,,,
Yes,Left T12 spinal nerve (Left twelfth thoracic nerve),FMA:6183,FMA:6167,,,,,,,,,,,
,T12 spinal nerve posterior ramus (Posterior ramus of twelfth thoracic nerve),FMA:8828,,,,,,,,,,,,
Yes,Right T12 spinal nerve posterior ramus (Posterior ramus of right twelfth thoracic nerve),FMA:8829,FMA:8828,,,,,,,,,,,
Yes,Left T12 spinal nerve posterior ramus (Posterior ramus of left twelfth thoracic nerve),FMA:8830,FMA:8828,,,,,,,,,,,
,T12 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of twelfth thoracic nerve),FMA:11750,,,,,,,,,,,,
Yes,Right T12 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of right twelfth thoracic nerve),FMA:11759,FMA:11750,,,,,,,,,,,
Yes,Left T12 spinal nerve posterior ramus lateral branch (Lateral branch of posterior ramus of left twelfth thoracic nerve),FMA:11760,FMA:11750,,,,,,,,,,,
,T12 gray rami communicantes (Gray communicating ramus of subcostal nerve),FMA:11648,,,,,,,,,,,,
Yes,Right T12 gray rami communicantes (Gray communicating ramus of right subcostal nerve),FMA:11780,FMA:11648,,,,,,,,,,,
Yes,Left T12 gray rami communicantes (Gray communicating ramus of left subcostal nerve),FMA:11788,FMA:11648,,,,,,,,,,,
,T12 white rami communicantes (White communicating ramus of subcostal nerve),FMA:11649,,,,,,,,,,,,
Yes,Right T12 white rami communicantes (White communicating ramus of right subcostal nerve),FMA:11781,FMA:11649,,,,,,,,,,,
Yes,Left T12 white rami communicantes (White communicating ramus of left subcostal nerve),FMA:11789,FMA:11649,,,,,,,,,,,
